PK_UID,Regione,Nome,Siglaprov,Siglareg,Codistat,ucs19,c1_19,c2_19,c3_19
287193,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
287302,TOSCANA,FIRENZE,FI,RT,048017,1121,1,11,112
287365,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
287449,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
287627,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
287812,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
288233,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
288420,TOSCANA,FIRENZE,FI,RT,048017,1121,1,11,112
288782,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
288886,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
288966,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
289125,TOSCANA,FIRENZE,FI,RT,048017,1121,1,11,112
289221,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
289356,TOSCANA,FIRENZE,FI,RT,048017,1121,1,11,112
289488,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
289558,TOSCANA,FIRENZE,FI,RT,048017,231,2,23,231
289576,TOSCANA,FIRENZE,FI,RT,048017,331,3,33,331
289799,TOSCANA,FIRENZE,FI,RT,048017,1121,1,11,112
289805,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
289883,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
289902,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
289989,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
289993,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
290275,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
290977,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
291200,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
291702,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
